,RA,DEC,z,mstar,plugmag_r,specmag_r,flux,flux_plugmag,comoving_distance,completeness,environment,cluster_mass,cluster_name
1026,149.15457,-0.11572062,0.16688761,11.015896,18.6349,17.837019,0.0002661901,0.00012765647,709.2512995805122,0.9022983441372504,Field,,
1027,149.13547,-0.3462923,0.09080971,10.558262,18.6335,17.582962,0.00033636854,0.00012782085,393.2941780518808,0.9252381884750863,Field,,
1028,149.1753,0.19213513,0.08846774,10.375734,18.4921,17.414225,0.00039292598,0.000145599,383.37010650467977,0.9339319011570553,Field,,
1029,149.16988,-0.023341153,0.13917015,11.504099,17.8859,17.111027,0.00051950244,0.0002544718,595.5872224537533,0.941389636077073,Field,,
1030,149.14243,-0.3724193,0.09193386,10.777965,18.5775,17.44089,0.0003833936,0.00013458653,398.05358737320404,0.9328931536733822,Field,,
1031,149.11792,0.18398894,0.065807715,11.19861,17.9151,16.829252,0.00067343947,0.00024771993,286.74450963538305,0.944468766317621,Field,,
1032,149.15617,-0.31522682,0.085327044,10.345739,19.3094,18.271627,0.00017838096,6.858653e-05,370.0430499688062,0.8639767303035623,Field,,
1033,149.12807,0.08362819,0.08811073,10.556001,18.8581,17.768858,0.00028343633,0.00010393453,381.85625348501213,0.909634680807268,Field,,
1034,149.15395,0.17248052,0.07903931,10.123262,18.9511,18.010532,0.00022687433,9.540233e-05,343.298767999172,0.8820208795255478,Field,,
1035,148.45331,-1.1332843,0.0934706,10.181712,18.7443,17.888847,0.00025378205,0.00011541989,404.555440956843,0.8964496612016271,Field,,
1036,148.53075,-1.205395,0.13514532,11.047439,18.6413,17.569424,0.0003405903,0.00012690519,578.9436644501207,0.9260988948521269,Field,,
1037,148.5424,-1.1945817,0.13839564,11.723483,17.8713,16.843748,0.00066450797,0.00025791698,592.3871483969933,0.9443420601954073,Field,,
1039,148.41086,-1.2333835,0.16314438,11.114962,18.7803,17.628128,0.00032266288,0.000111656,693.9984182306183,0.9219980222889355,Field,,
1040,148.4325,-1.0264118,0.110280894,11.077247,17.9687,17.101177,0.0005242399,0.00023578835,475.3480571185247,0.9415411890756289,Field,,
1041,148.53557,-1.1786423,0.14264275,10.983395,18.8243,17.782795,0.00027982102,0.000107220825,609.918979343149,0.9082048103241859,Field,,
